name	2-group	3-group	>=4-group
50%_100aa	181	62	77
50%_10aa	80	18	24
50%_30aa	118	44	40
50%_50aa	149	49	58
50%_70aa	169	54	68
60%_100aa	139	42	60
60%_10aa	67	17	20
60%_30aa	95	32	32
60%_50aa	117	34	48
60%_70aa_	133	38	53
70%_100aa	109	33	47
70%_10aa	49	11	18
70%_30aa	83	18	26
70%_50aa	93	30	36
70%_70aa	104	34	40
80%_100aa	79	29	35
80%_10aa	41	9	16
80%_30aa	58	16	22
80%_50aa	64	23	30
80%_70aa	74	29	29
90%_100aa	61	16	28
90%_10aa	34	7	13
90%_30aa	41	13	17
90%_50aa	56	14	24
90%_70aa	59	18	23
result	0	0	0
