Cre07.g312002.t1.1	Cre07.g312002.t1.1; Cre09.g390689.t1.1	79; 86	Pfam	; 	; 	; 	; 
Cre07.g312817.t1.1	Cre07.g312817.t1.1; Cre07.g312833.t1.1; Cre12.g559554.t1.1; Cre12.g499152.t1.1; Cre13.g582100.t1.2	114; 110; 104; 116; 116	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
Cre07.g317626.t1.1	Cre07.g317626.t1.1; Cre02.g100533.t1.1; Cre17.g747097.t1.1	318; 316; 308	Pfam	; ; 	; ; 	; ; 	; ; 
Cre07.g320400.t1.2	Cre07.g320450.t1.2; Cre07.g320400.t1.2	191; 191	Pfam	PF00504; PF00504	Chlorophyll A-B binding protein; Chlorophyll A-B binding protein	IPR022796; IPR022796	Chlorophyll A-B binding protein; Chlorophyll A-B binding protein
Cre07.g325740.t1.1	Cre07.g325740.t1.1; Cre07.g325741.t1.1	653; 653	Pfam	PF01384; PF01384	Phosphate transporter family; Phosphate transporter family	IPR001204; IPR001204	Phosphate transporter; Phosphate transporter
Cre07.g329200.t1.2	Cre07.g329200.t1.2; Cre07.g329233.t1.1; Cre07.g329217.t1.1	77; 77; 77	Pfam	PF07717; PF07717; PF07717	Oligonucleotide/oligosaccharide-binding (OB)-fold; Oligonucleotide/oligosaccharide-binding (OB)-fold; Oligonucleotide/oligosaccharide-binding (OB)-fold	IPR011709; IPR011709; IPR011709	Domain of unknown function DUF1605; Domain of unknown function DUF1605; Domain of unknown function DUF1605
Cre07.g333711.t1.1	Cre01.g006301.t1.1; Cre07.g333711.t1.1	57; 57	Pfam	; 	; 	; 	; 
Cre07.g338750.t1.1	Cre07.g338750.t1.1; Cre07.g338850.t1.2	528; 524	Pfam	; 	; 	; 	; 
Cre07.g341554.t1.1	Cre07.g341554.t1.1; Cre10.g423083.t2.1	384; 392	Pfam	; 	; 	; 	; 
Cre07.g343250.t1.1	Cre07.g343250.t1.1; Cre07.g343300.t1.1	1154; 1160	Pfam	; 	; 	; 	; 
Cre07.g343534.t1.1	Cre07.g343534.t1.1; Cre07.g343567.t1.1	1073; 1063	Pfam	; 	; 	; 	; 
Cre07.g345100.t1.2	Cre01.g003600.t1.2; Cre13.g585026.t1.1; Cre17.g742750.t1.2; Cre06.g292315.t1.1; Cre06.g254213.t1.1; Cre16.g660700.t1.2; Cre14.g608093.t1.2; Cre07.g345100.t1.2; Cre08.g380100.t1.2	105; 105; 105; 105; 105; 105; 105; 105; 105	Pfam	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 
Cre07.g346200.t1.2	Cre07.g346200.t1.2; Cre13.g565270.t1.1; Cre02.g073350.t1.2; Cre02.g085350.t1.1	389; 389; 389; 385	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 
Cre07.g346850.t1.2	Cre07.g346850.t1.2; Cre07.g346950.t1.1	238; 238	Pfam	; 	; 	; 	; 
Cre07.g357200.t1.2	Cre07.g357200.t1.2; Cre06.g278185.t1.1	478; 479	Pfam	PF00984, PF03721, PF03720; PF00984, PF03720, PF03721	UDP-glucose/GDP-mannose dehydrogenase family, central domain, UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain, UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain; UDP-glucose/GDP-mannose dehydrogenase family, central domain, UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain, UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	IPR014026, IPR001732, IPR014027; IPR014026, IPR014027, IPR001732	UDP-glucose/GDP-mannose dehydrogenase, dimerisation, UDP-glucose/GDP-mannose dehydrogenase, N-terminal, UDP-glucose/GDP-mannose dehydrogenase, C-terminal; UDP-glucose/GDP-mannose dehydrogenase, dimerisation, UDP-glucose/GDP-mannose dehydrogenase, C-terminal, UDP-glucose/GDP-mannose dehydrogenase, N-terminal
Cre07.g357486.t1.2	Cre07.g357486.t1.2; Cre04.g220550.t1.2; Cre01.g057426.t1.1	99; 89; 107	Pfam	; ; 	; ; 	; ; 	; ; 
Cre08.g358150.t1.2	Cre08.g358150.t1.2; Cre16.g688202.t1.1; Cre16.g688100.t1.2	206; 207; 207	Pfam	; ; 	; ; 	; ; 	; ; 
Cre08.g358450.t1.2	Cre08.g358450.t1.2; Cre02.g111250.t1.2	71; 70	Pfam	; 	; 	; 	; 
Cre08.g358500.t1.2	Cre08.g358500.t1.2; Cre08.g358582.t1.1	113; 120	Pfam	; 	; 	; 	; 
Cre08.g358545.t1.1	Cre17.g697850.t1.2; Cre08.g358545.t1.1	603; 603	Pfam	; 	; 	; 	; 
Cre08.g359133.t1.1	Cre08.g359133.t1.1; Cre03.g156476.t1.1	61; 55	Pfam	; 	; 	; 	; 
Cre08.g363383.t1.1	Cre08.g363383.t1.1; Cre14.g632626.t1.1	76; 67	Pfam	; 	; 	; 	; 
Cre08.g365050.t1.2	Cre08.g365050.t1.2; Cre08.g365100.t1.1; Cre08.g365150.t1.2; Cre08.g365200.t1.2; Cre08.g365300.t1.2; Cre08.g365205.t2.1	553; 563; 553; 553; 553; 553	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
