Cre07.g312002.t1.1	Cre07.g312002.t1.1; Cre17.g733986.t1.2; Cre02.g074474.t1.1; Cre09.g390689.t1.1; Cre09.g397052.t1.1; Cre16.g683954.t1.1; Cre01.g038376.t1.1; Cre03.g161976.t1.1; Cre10.g417741.t1.1; Cre03.g146847.t1.1	79; 68; 59; 86; 76; 55; 68; 94; 87; 67	Pfam	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 
Cre07.g312701.t1.1	Cre07.g312701.t1.1; Cre16.g660550.t1.2	1466; 1452	Pfam	PF00078; PF00078	Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase)	IPR000477; IPR000477	Reverse transcriptase domain; Reverse transcriptase domain
Cre07.g312817.t1.1	Cre07.g312817.t1.1; Cre07.g312833.t1.1; Cre16.g689766.t1.1; Cre10.g417741.t1.1; Cre09.g386125.t1.1; Cre12.g559554.t1.1; Cre12.g499152.t1.1; Cre13.g582100.t1.2; Cre17.g692676.t1.1; Cre01.g058156.t1.1; Cre13.g573850.t1.1; Cre03.g176440.t1.2	114; 110; 98; 87; 86; 104; 116; 116; 87; 80; 85; 80	Pfam	; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; 
Cre07.g314751.t1.1	Cre07.g314751.t1.1; Cre12.g495955.t1.1	888; 901	Pfam	; PF00078	; Reverse transcriptase (RNA-dependent DNA polymerase)	; IPR000477	; Reverse transcriptase domain
Cre07.g315432.t1.2	Cre07.g315432.t1.2; Cre07.g315450.t1.1	377; 366	Pfam	; 	; 	; 	; 
Cre07.g316200.t1.1	Cre07.g316200.t1.1; Cre02.g119500.t1.1	591; 576	Pfam	; 	; 	; 	; 
Cre07.g317350.t1.2	Cre07.g317350.t1.2; Cre07.g317450.t1.1	214; 229	Pfam	; 	; 	; 	; 
Cre07.g317626.t1.1	Cre07.g317626.t1.1; Cre02.g100533.t1.1; Cre02.g134124.t1.1; Cre17.g747097.t1.1; Cre09.g390504.t1.1; Cre12.g490141.t1.1; Cre10.g417450.t1.1	318; 316; 315; 308; 288; 338; 320	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
Cre07.g319320.t1.1	Cre07.g319320.t1.1; Cre07.g319400.t1.2	427; 411	Pfam	PF00291; PF00291	Pyridoxal-phosphate dependent enzyme; Pyridoxal-phosphate dependent enzyme	IPR001926; IPR001926	Pyridoxal-phosphate dependent enzyme; Pyridoxal-phosphate dependent enzyme
Cre07.g319701.t1.2	Cre07.g319701.t1.2; Cre08.g358532.t1.1	443; 470	Pfam	PF00320; PF00320, PF01426	GATA zinc finger; GATA zinc finger, BAH domain	IPR000679; IPR000679, IPR001025	Zinc finger, GATA-type; Zinc finger, GATA-type, Bromo adjacent homology (BAH) domain
Cre07.g320400.t1.2	Cre07.g320450.t1.2; Cre07.g320400.t1.2	191; 191	Pfam	PF00504; PF00504	Chlorophyll A-B binding protein; Chlorophyll A-B binding protein	IPR022796; IPR022796	Chlorophyll A-B binding protein; Chlorophyll A-B binding protein
Cre07.g321951.t1.1	Cre07.g321951.t1.1; Cre17.g707700.t1.2	497; 514	Pfam	PF01566; PF01566	Natural resistance-associated macrophage protein; Natural resistance-associated macrophage protein	IPR001046; IPR001046	NRAMP family; NRAMP family
Cre07.g322650.t1.2	Cre07.g322650.t1.2; Cre07.g322800.t1.2	334; 333	Pfam	; 	; 	; 	; 
Cre07.g323890.t1.2	Cre07.g323890.t1.2; Cre06.g310576.t1.1; Cre10.g450626.t1.1; Cre16.g667354.t1.1	81; 99; 99; 56	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 
Cre07.g325710.t1.1	Cre07.g325710.t1.1; Cre02.g119526.t1.1; Cre06.g306079.t1.1	82; 63; 67	Pfam	; ; 	; ; 	; ; 	; ; 
Cre07.g325734.t1.1	Cre07.g325734.t1.1; Cre16.g650550.t2.1	163; 151	Pfam	PF00334; PF00334	Nucleoside diphosphate kinase; Nucleoside diphosphate kinase	IPR034907; IPR034907	Nucleoside diphosphate kinase-like domain; Nucleoside diphosphate kinase-like domain
Cre07.g325737.t1.1	Cre07.g325737.t1.1; Cre17.g745297.t1.1	397; 411	Pfam	; 	; 	; 	; 
Cre07.g325740.t1.1	Cre07.g325740.t1.1; Cre07.g325741.t1.1	653; 653	Pfam	PF01384; PF01384	Phosphate transporter family; Phosphate transporter family	IPR001204; IPR001204	Phosphate transporter; Phosphate transporter
Cre07.g327333.t1.1	Cre07.g327333.t1.1; Cre09.g390689.t1.1; Cre17.g733986.t1.2; Cre06.g250976.t1.1	92; 86; 68; 103	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 
Cre07.g327800.t1.1	Cre07.g327800.t1.1; Cre12.g530900.t1.2	630; 631	Pfam	PF00005, PF01061; PF00005, PF01061	ABC transporter, ABC-2 type transporter; ABC transporter, ABC-2 type transporter	IPR003439, IPR013525; IPR003439, IPR013525	ABC transporter-like, ABC-2 type transporter; ABC transporter-like, ABC-2 type transporter
Cre07.g329200.t1.2	Cre07.g329200.t1.2; Cre07.g329233.t1.1; Cre07.g329217.t1.1	77; 77; 77	Pfam	PF07717; PF07717; PF07717	Oligonucleotide/oligosaccharide-binding (OB)-fold; Oligonucleotide/oligosaccharide-binding (OB)-fold; Oligonucleotide/oligosaccharide-binding (OB)-fold	IPR011709; IPR011709; IPR011709	Domain of unknown function DUF1605; Domain of unknown function DUF1605; Domain of unknown function DUF1605
Cre07.g333570.t1.1	Cre07.g333570.t1.1; Cre08.g373350.t1.2	450; 461	Pfam	PF00078; PF00078	Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase)	IPR000477; IPR000477	Reverse transcriptase domain; Reverse transcriptase domain
Cre07.g333711.t1.1	Cre01.g006301.t1.1; Cre07.g333711.t1.1	57; 57	Pfam	; 	; 	; 	; 
Cre07.g333746.t1.1	Cre07.g333746.t1.1; Cre12.g484834.t1.1	1047; 1017	Pfam	PF00628; 	PHD-finger; 	IPR019787; 	Zinc finger, PHD-finger; 
Cre07.g333781.t1.1	Cre07.g333781.t1.1; Cre08.g362036.t1.2; Cre03.g143707.t1.1	71; 98; 110	Pfam	; ; 	; ; 	; ; 	; ; 
Cre07.g333816.t1.1	Cre07.g333816.t1.1; Cre21.g753097.t1.1	827; 811	Pfam	PF00078; PF00078	Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase)	IPR000477; IPR000477	Reverse transcriptase domain; Reverse transcriptase domain
